x,custom,boost,derivation
-8.1300000000,0.1400377591,0.1400377591,0.2509999019
-8.1290000000,0.1402887041,0.1402887041,0.2508906062
-8.1280000000,0.1405395397,0.1405395397,0.2507810498
-8.1270000000,0.1407902656,0.1407902656,0.2506712330
-8.1260000000,0.1410408816,0.1410408816,0.2505611558
-8.1250000000,0.1412913873,0.1412913873,0.2504508182
-8.1240000000,0.1415417826,0.1415417826,0.2503402204
-8.1230000000,0.1417920672,0.1417920672,0.2502293625
-8.1220000000,0.1420422408,0.1420422408,0.2501182444
-8.1210000000,0.1422923031,0.1422923031,0.2500068663
-8.1200000000,0.1425422539,0.1425422539,0.2498952283
-8.1190000000,0.1427920929,0.1427920929,0.2497833304
-8.1180000000,0.1430418200,0.1430418200,0.2496711727
-8.1170000000,0.1432914347,0.1432914347,0.2495587554
-8.1160000000,0.1435409369,0.1435409369,0.2494460783
-8.1150000000,0.1437903263,0.1437903263,0.2493331418
-8.1140000000,0.1440396026,0.1440396026,0.2492199457
-8.1130000000,0.1442887656,0.1442887656,0.2491064903
-8.1120000000,0.1445378150,0.1445378150,0.2489927755
-8.1110000000,0.1447867506,0.1447867506,0.2488788015
-8.1100000000,0.1450355720,0.1450355720,0.2487645683
-8.1090000000,0.1452842791,0.1452842791,0.2486500761
-8.1080000000,0.1455328716,0.1455328716,0.2485353248
-8.1070000000,0.1457813492,0.1457813492,0.2484203147
-8.1060000000,0.1460297117,0.1460297117,0.2483050457
-8.1050000000,0.1462779587,0.1462779587,0.2481895179
-8.1040000000,0.1465260901,0.1465260901,0.2480737315
-8.1030000000,0.1467741056,0.1467741056,0.2479576864
-8.1020000000,0.1470220050,0.1470220050,0.2478413829
-8.1010000000,0.1472697878,0.1472697878,0.2477248209
-8.1000000000,0.1475174540,0.1475174540,0.2476080005
-8.0990000000,0.1477650033,0.1477650033,0.2474909219
-8.0980000000,0.1480124353,0.1480124353,0.2473735851
-8.0970000000,0.1482597499,0.1482597499,0.2472559903
-8.0960000000,0.1485069468,0.1485069468,0.2471381373
-8.0950000000,0.1487540256,0.1487540256,0.2470200265
-8.0940000000,0.1490009863,0.1490009863,0.2469016578
-8.0930000000,0.1492478284,0.1492478284,0.2467830313
-8.0920000000,0.1494945518,0.1494945518,0.2466641471
-8.0910000000,0.1497411562,0.1497411562,0.2465450054
-8.0900000000,0.1499876413,0.1499876413,0.2464256061
-8.0890000000,0.1502340068,0.1502340068,0.2463059494
-8.0880000000,0.1504802526,0.1504802526,0.2461860353
-8.0870000000,0.1507263784,0.1507263784,0.2460658640
-8.0860000000,0.1509723838,0.1509723838,0.2459454355
-8.0850000000,0.1512182687,0.1512182687,0.2458247500
-8.0840000000,0.1514640328,0.1514640328,0.2457038074
-8.0830000000,0.1517096758,0.1517096758,0.2455826079
-8.0820000000,0.1519551975,0.1519551975,0.2454611515
-8.0810000000,0.1522005976,0.1522005976,0.2453394385
-8.0800000000,0.1524458759,0.1524458759,0.2452174687
-8.0790000000,0.1526910320,0.1526910320,0.2450952424
-8.0780000000,0.1529360658,0.1529360658,0.2449727596
-8.0770000000,0.1531809770,0.1531809770,0.2448500205
-8.0760000000,0.1534257654,0.1534257654,0.2447270250
-8.0750000000,0.1536704306,0.1536704306,0.2446037733
-8.0740000000,0.1539149724,0.1539149724,0.2444802654
-8.0730000000,0.1541593906,0.1541593906,0.2443565016
-8.0720000000,0.1544036849,0.1544036849,0.2442324817
-8.0710000000,0.1546478550,0.1546478550,0.2441082061
-8.0700000000,0.1548919008,0.1548919008,0.2439836746
-8.0690000000,0.1551358219,0.1551358219,0.2438588875
